Rank,Rating,Title,Votes
42,8.5,Spirited Away (2001),"244,430"
43,8.5,Gravity (2013),"33,721"
44,8.5,North by Northwest (1959),"155,574"
45,8.5,Back to the Future (1985),"433,401"
46,8.4,Citizen Kane (1941),"216,576"
47,8.4,The Pianist (2002),"297,265"
48,8.4,M (1931),"68,920"
49,8.4,Life Is Beautiful (1997),"237,603"
50,8.4,The Shining (1980),"380,225"
51,8.4,The Departed (2006),"540,726"
52,8.4,Paths of Glory (1957),"78,867"
53,8.4,Vertigo (1958),"162,865"
54,8.4,American Beauty (1999),"555,796"
55,8.4,Django Unchained (2012),"450,505"
56,8.4,Double Indemnity (1944),"66,255"
57,8.4,Taxi Driver (1976),"321,465"
58,8.4,The Dark Knight Rises (2012),"672,751"
59,8.4,Aliens (1986),"325,439"
60,8.4,The Green Mile (1999),"447,680"
61,8.4,The Intouchables (2011),"223,271"
62,8.4,Gladiator (2000),"598,332"
63,8.4,WALL·E (2008),"430,863"
64,8.4,The Lives of Others (2006),"168,022"
65,8.4,Toy Story 3 (2010),"320,991"
66,8.4,The Great Dictator (1940),"78,329"
67,8.4,A Clockwork Orange (1971),"356,779"
68,8.4,The Prestige (2006),"497,983"
69,8.4,Amélie (2001),"351,134"
70,8.4,Lawrence of Arabia (1962),"130,531"
71,8.4,To Kill a Mockingbird (1962),"143,215"
72,8.4,Reservoir Dogs (1992),"416,840"
73,8.4,Das Boot (1981),"118,641"
74,8.3,Cinema Paradiso (1988),"93,024"
75,8.3,The Lion King (1994),"361,740"
76,8.3,The Treasure of the Sierra Madre (1948),"55,469"
77,8.3,The Third Man (1949),"81,076"
78,8.3,Once Upon a Time in America (1984),"146,293"
79,8.3,Requiem for a Dream (2000),"378,814"
80,8.3,Star Wars: Episode VI - Return of the Jedi (1983),"410,111"
81,8.3,Eternal Sunshine of the Spotless Mind (2004),"437,665"
82,8.3,Full Metal Jacket (1987),"305,714"
83,8.3,Braveheart (1995),"480,170"
84,8.3,L.A. Confidential (1997),"296,956"
85,8.3,Oldboy (2003),"217,584"
86,8.3,Singin' in the Rain (1952),"99,981"
87,8.3,Metropolis (1927),"74,994"
88,8.3,Chinatown (1974),"147,914"
89,8.3,Rashomon (1950),"69,011"
90,8.3,Some Like It Hot (1959),"120,126"
91,8.3,Bicycle Thieves (1948),"57,490"
92,8.3,All About Eve (1950),"57,417"
93,8.3,Monty Python and the Holy Grail (1975),"265,075"
94,8.3,Princess Mononoke (1997),"135,618"
95,8.3,Amadeus (1984),"183,169"
96,8.3,2001: A Space Odyssey (1968),"275,055"
97,8.3,Witness for the Prosecution (1957),"36,241"
98,8.3,The Apartment (1960),"70,921"
99,8.3,The Sting (1973),"117,819"
100,8.3,Unforgiven (1992),"190,549"
101,8.3,Grave of the Fireflies (1988),"75,713"
102,8.3,Indiana Jones and the Last Crusade (1989),"336,055"
103,8.3,Raging Bull (1980),"160,636"
104,8.3,The Bridge on the River Kwai (1957),"102,421"
105,8.3,Die Hard (1988),"395,178"
106,8.3,Yojimbo (1961),"49,855"
107,8.3,Batman Begins (2005),"604,923"
108,8.3,A Separation (2011),"93,088"
109,8.2,Inglourious Basterds (2009),"505,702"
110,8.2,For a Few Dollars More (1965),"94,509"
111,8.2,Mr. Smith Goes to Washington (1939),"54,505"
112,8.2,Snatch. (2000),"392,241"
113,8.2,Toy Story (1995),"369,869"
114,8.2,On the Waterfront (1954),"68,966"
115,8.2,The Great Escape (1963),"110,551"
116,8.2,Downfall (2004),"168,689"
117,8.2,Pan's Labyrinth (2006),"313,115"
118,8.2,Up (2009),"377,485"
119,8.2,The General (1926),"34,819"
120,8.2,The Seventh Seal (1957),"74,369"
121,8.2,Heat (1995),"297,114"
122,8.2,The Elephant Man (1980),"111,071"
123,8.2,The Maltese Falcon (1941),"81,135"
124,8.2,The Kid (1921),"35,316"
125,8.2,Blade Runner (1982),"326,683"
126,8.2,Wild Strawberries (1957),"41,744"
127,8.2,Rebecca (1940),"61,069"
128,8.2,Scarface (1983),"344,351"
129,8.2,Ikiru (1952),"27,215"
130,8.2,Ran (1985),"55,197"
131,8.2,Fargo (1996),"285,542"
132,8.2,Gran Torino (2008),"367,352"
133,8.2,Touch of Evil (1958),"52,508"
134,8.2,The Big Lebowski (1998),"348,568"
135,8.2,The Gold Rush (1925),"41,458"
136,8.2,The Deer Hunter (1978),"161,747"
137,8.2,Cool Hand Luke (1967),"84,470"
138,8.1,It Happened One Night (1934),"43,205"
139,8.1,Diabolique (1955),"26,777"
140,8.1,No Country for Old Men (2007),"397,628"
141,8.1,The Sixth Sense (1999),"475,862"
142,8.1,"Lock, Stock and Two Smoking Barrels (1998)","277,636"
143,8.1,Jaws (1975),"267,827"
144,8.1,Good Will Hunting (1997),"366,430"
145,8.1,Strangers on a Train (1951),"64,124"
146,8.1,Casino (1995),"216,669"
147,8.1,Judgment at Nuremberg (1961),"25,742"
148,8.1,The Grapes of Wrath (1940),"42,227"
149,8.1,The Wizard of Oz (1939),"192,425"
150,8.1,Platoon (1986),"202,044"
151,8.1,Sin City (2005),"459,794"
152,8.1,Butch Cassidy and the Sundance Kid (1969),"102,995"
153,8.1,Kill Bill: Vol. 1 (2003),"470,244"
154,8.1,The Thing (1982),"175,041"
155,8.1,Trainspotting (1996),"312,510"
156,8.1,Gone with the Wind (1939),"148,410"
157,8.1,High Noon (1952),"56,791"
158,8.1,Annie Hall (1977),"127,072"
159,8.1,Hotel Rwanda (2004),"180,270"
160,8.1,The Hunt (2012),"39,033"
161,8.1,Warrior (2011),"190,877"
162,8.1,The Secret in Their Eyes (2009),"73,505"
163,8.1,Finding Nemo (2003),"406,678"
164,8.1,My Neighbor Totoro (1988),"88,095"
165,8.1,V for Vendetta (2005),"507,750"
166,8.1,Notorious (1946),"52,582"
167,8.1,Dial M for Murder (1954),"65,745"
168,8.1,The Avengers (2012),"568,037"
169,8.1,How to Train Your Dragon (2010),"249,971"
170,8.1,Life of Brian (1979),"183,277"
171,8.1,Into the Wild (2007),"263,344"
172,8.1,The Best Years of Our Lives (1946),"27,843"
173,8.1,Network (1976),"69,929"
174,8.1,The Terminator (1984),"378,300"
175,8.1,Million Dollar Baby (2004),"303,571"
176,8.1,There Will Be Blood (2007),"252,241"
177,8.1,Ben-Hur (1959),"106,455"
178,8.1,The Night of the Hunter (1955),"44,437"
179,8.1,The Big Sleep (1946),"47,119"
180,8.1,The King's Speech (2010),"288,159"
181,8.1,Stand by Me (1986),"182,230"
182,8.1,The 400 Blows (1959),"46,028"
183,8.1,Twelve Monkeys (1995),"316,945"
184,8.1,Groundhog Day (1993),"282,250"
185,8,Donnie Darko (2001),"398,128"
186,8,Dog Day Afternoon (1975),"126,624"
187,8,Amores Perros (2000),"120,868"
188,8,Howl's Moving Castle (2004),"121,059"
189,8,Mary and Max (2009),"67,759"
190,8,Gandhi (1982),"110,584"
191,8,The Bourne Ultimatum (2007),"322,172"
192,8,A Beautiful Mind (2001),"344,294"
193,8,Persona (1966),"36,479"
194,8,The Killing (1956),"44,571"
195,8,The Graduate (1967),"149,389"
196,8,Rush (2013),"28,676"
197,8,Black Swan (2010),"373,745"
198,8,The Princess Bride (1987),"207,589"
199,8,Who's Afraid of Virginia Woolf? (1966),"38,192"
200,8,The Hustler (1961),"43,710"
201,8,The Man Who Shot Liberty Valance (1962),"39,917"
202,8,La Strada (1954),"32,409"
203,8,Anatomy of a Murder (1959),"32,242"
204,8,8½ (1963),"54,451"
205,8,The Manchurian Candidate (1962),"53,501"
206,8,Rocky (1976),"220,323"
207,8,The Exorcist (1973),"213,984"
208,8,Slumdog Millionaire (2008),"425,904"
209,8,In the Name of the Father (1993),"65,291"
210,8,Stalag 17 (1953),"33,518"
211,8,Rope (1948),"66,041"
212,8,The Wild Bunch (1969),"51,331"
213,8,Barry Lyndon (1975),"69,583"
214,8,"Monsters, Inc. (2001)","328,336"
215,8,Fanny and Alexander (1982),"27,430"
216,8,Infernal Affairs (2002),"63,858"
217,8,The Truman Show (1998),"407,875"
218,8,Roman Holiday (1953),"63,443"
219,8,Life of Pi (2012),"246,325"
220,8,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"519,625"
221,8,Memories of Murder (2003),"33,873"
222,8,All Quiet on the Western Front (1930),"38,373"
223,8,Harry Potter and the Deathly Hallows: Part 2 (2011),"303,847"
224,8,Sleuth (1972),"30,643"
225,8,Stalker (1979),"43,524"
226,8,Jurassic Park (1993),"344,256"
227,8,A Streetcar Named Desire (1951),"60,767"
228,8,Star Trek (2009),"362,442"
229,8,Ratatouille (2007),"316,890"
230,8,Ip Man (2008),"86,593"
231,8,A Fistful of Dollars (1964),"82,374"
232,8,The Diving Bell and the Butterfly (2007),"69,702"
233,8,The Hobbit: An Unexpected Journey (2012),"352,517"
234,8,District 9 (2009),"388,592"
235,8,Shutter Island (2010),"436,151"
236,8,Rain Man (1988),"276,674"
237,8,Incendies (2010),"36,751"
238,8,Rosemary's Baby (1968),"103,929"
239,8,La Haine (1995),"63,865"
240,8,3 Idiots (2009),"83,178"
241,8,The Artist (2011),"132,672"
242,8,Nausicaä of the Valley of the Wind (1984),"53,307"
243,7.9,Beauty and the Beast (1991),"189,229"
244,7.9,Three Colors: Red (1994),"43,438"
245,7.9,Bringing Up Baby (1938),"35,695"
246,7.9,Mystic River (2003),"256,159"
247,7.9,In the Heat of the Night (1967),"37,081"
248,7.9,Arsenic and Old Lace (1944),"45,893"
249,7.9,Before Sunrise (1995),"100,974"
250,7.9,Papillon (1973),"62,517"
